other_links.entity_id,Full name (vernacular),First name,Last name,Title (same as alias?),Alias,Old Occupation data from Kircher DB,expertise/interests,expertise/interests major fields,office/position,Communities,Religion,Gender,Language(s),Published/circulated author?,Publication details,Spouse Name,"Location born (city, country)",birthdate,"Location died (city, country)",deathdate,Biographical notes,comments
46705,Duke of Schleswig-Holstein Christian August,Duke of Schleswig-Holstein,Christian August,,Duke of Schleswig-Holstein,Duke of Schleswig-Holstein,,,duke,titled_nobility,Protestant,male,italian:8;latin:1,,,,,,,,,
46706,Queen of Sweden Christina,Queen of Sweden,Christina,,Queen of Sweden,Queen of Sweden,,,queen,titled_nobility,Catholic convert,female,italian:1;german:2,Yes,,,"Stockholm, Sweden",1626-12-18,"Rome, Italy",1689-04-19,,
46707,Carlo Conti,Carlo,Conti,,Cardinal,"Duke of Poldi,Cardinal",,,"cardinal,duke","church_official,clergy",Catholic,male,latin:1;italian:2,,,,,,,,,
46708,Princess of Lichtenstein Dorothea,Princess of Lichtenstein,Dorothea,,Princess of Lichtenstein,Princess of Lichtenstein,,,princess,titled_nobility,Catholic,female,german:1,,,,,,,,,
46709,Johann Eissert,Johann,Eissert,,,Jesuit (S.J.),,,jesuit,clergy,Catholic,male,latin:3 ,,,,,,,,,
46710,Duke of Savoy Carlo Emanuele II,Duke of Savoy,Carlo Emanuele II,,Duke of Savoy,Duke of Savoy,,,duke,titled_nobility,Catholic,male,italian:1,,,,,,,,,
46711,Ernst Adalbert von Harrach,Ernst Adalbert von,Harrach,,"Cardinal, Archbishop of Prague, Prince-Bishop of Trent, Primate of the Kingdom of Bohemia",Cardinal,,,"cardinal,councillor,diplomat","clergy,church_official,secular_official",Catholic,male,latin:1,Yes,"Symbuleuticon, seu, Consultatio virtutum: illustrissimo principi Scipioni Card. Burghesio meritos honores decerne[n]tium ad musicos concentus : cum de philosophia disputaret in Collegio Rom. Societatis Iesu Ernestus Adalbertus ab Harrach, 1620",,,1598,,1667,Was a diplomat in Rome,
46712,Johann Heinrich von Kielmannseck,Johann Heinrich von,Kielmannseck,,Hans Heinrich Kielmann von Kielmannsegg,,,,privy counsellor at the court in Gottorf and later counsellor to the Emperor,titled_nobility,Catholic,male,latin:1,,,,,1636-9-26,,1686,titled nobility?,Catholic inferred from his letter.
46713,Cesare Facchinetti,Cesare,Facchinetti,,,Cardinal,,,cardinal,"clergy,church_official",Catholic,male,italian:2,Yes,"Cesare per misericordia di Dio, della S.R.C. del titolo de SS. Quattro Coronati Prete Card. Fachenetti Vescouo di Spoleti[sic], 1658; Officium Beatissimae Virginis Mariae de Mercede Redemptionis Captiuorum.: A Sac. Rit. Congreg. recognitum, & approbatum, 1679; Officium S. Margaritae Scotorum Reginae semiduplex. A Sac. Rit. Congreg. recognitum, & approbatum. De mandato D.N. Innocentij Papae XI. in Breuiario Romano apponen: Et ab omnibus vtriusque sexus Christifidelibus, qui ad horas canonicas tenentur, ad libitum recitandum die octaua Iulij, 1679.",,,,,,,
46714,Prince of Lichtenstein Ferdinand Johann,Prince of Lichtenstein,Ferdinand Johann,,Prince of Lichtenstein,Prince of Lichtenstein,,,prince,titled_nobility,Catholic,male,italian:8;latin:6;german:6 ,,,,,1622,,1666,,
46715,Elector of Bavaria Ferdinand Maria,Elector of Bavaria,Ferdinand Maria,,Elector of Bavaria,"Elector of Bavaria,Duke of Bavaria",,,"elector,duke",titled_nobility,Catholic,male,latin:4,Yes,"Apollo Triumphans. Oder der sieg-ruffende Apollo, welcher ... Ferdinandum Mariam in ... Bayern ... Hertzogen ... vnd ... Henriet: Adelheid: in ... Bayern ... Hertzogin ... in einem pra_chtigen Einzug ... in ... Regenspurg ... ein und mitbracht, etc. [In verse.]. Regenspurg: Bey C. Fischern, 1664.",,,,,,,
46716,Ferdinando Giovanni di Gonzaga,Ferdinando Giovanni di,Gonzaga,,Prince of Castiglione,Prince of Castiglione,,,prince,titled_nobility,Catholic,male,italian:22,,,,,,,,,
46717,Grand Duke of Tuscany Ferdinando II de' Medici,Grand Duke of Tuscany,Ferdinando II de' Medici,,Grand Duke of Tuscany,Grand Duke of Tuscany,,,grand duke,titled_nobility,Catholic,male,italian:14,,,,Italian,1610-7-14,,1670-5-23,,
46718,Prince of Tunis Filippo Carlo (Mahamet Chelebi),Prince of Tunis,Filippo Carlo (Mahamet Chelebi),,Prince of Tunis,Prince of Tunis,,,prince,titled_nobility,Muslim,male,italian:7,,,,,,,,,
46719, Franz Erdmann,,Franz Erdmann,,,genelral,,,,titled_nobility,Protestant,male,latin:4;italian:1,,,,,,,,,I believe he is Franz Erdmann von Sachsen-Lauenburg: http://de.wikipedia.org/wiki/Franz_Erdmann_%28Sachsen-Lauenburg%29
46722,Jodwig Höpffner,Jodwig,Höpffner,,Counsellor to Archduke Leopold Wilhelm,Counsellor to Archduke Leopold Wilhelm,,,councillor,secular_official,Catholic,male,latin:1,,,,,,,,,
46723,Johann Baptist van Hollant,Johann Baptist van,Hollant,,,Jesuit (S.J.),,,jesuit,clergy,Catholic,male,latin:4,,,,,,,,,
46724,Elector of the Palatinate Karl I Ludwig,Elector of the Palatinate,Karl I Ludwig,,Elector of the Palatinate,Elector of the Palatinate,,,elector,titled_nobility,Protestant,male,latin:4,,,,,,,,Son of Frederick V,
46725,Archduke of Austria Joseph Karl,Archduke of Austria,Joseph Karl,,Archduke of Austria,Archduke of Austria,,,archduke,titled_nobility,Catholic,male,latin:1,,,,,,,,,
46726,Godefrid Alois Kinner von Löwenthurm,Godefrid Alois,Kinner von Löwenthurm,,,"mathematician, tutor to the Archduke",mathematics,natural philosophy, tutor,professional,Catholic,male,latin:28,Yes,"Elucidatio Geometrica problematis Austriaci, 1653, Stella matutina in medio Nebulae, 1664 ",,,,,,,
46728,Leopold von Kollonich (Kollonitz),Leopold von,Kollonich (Kollonitz),,Cardinal,"count,Cardinal",,,"count,cardinal","clergy,church_official,titled_nobility",Catholic,male,latin:3;italian:2,,,,,,,,,
46729,Archduke of Austria Leopold Wilhelm,Archduke of Austria,Leopold Wilhelm,,Archduke of Austria,Archduke of Austria,,,"archduke,governor,general","titled_nobility,secular_official",Catholic,male,latin:3,,,,,,,,,
46730,Alfonso Letta,Alfonso,Letta,,Cardinal of Santa Croce,Cardinal of Santa Croce,,,cardinal,"church_official,clergy",Catholic,male,italian:1,,,,,,,,,
46731,Stanislas Lubienietzki,Stanislas,Lubienietzki,,,"historian, astronomer, Socinian theologist","history,astronomy,theology","natural philosophy,history/classical scholarship,religious/morality",,,Protestant,male,latin:5,Yes,"Historia Reformationis Polonicae: in qua tum reformatorum tum antitrinitariorum origo & progressus in Polonia & finitimis provinciis narrantur, 1685; Stanislai de Lubienietz Theatrum cometicum daubus partibus constans : quarum altera frequenti Senatu Philosophico conspicua, cometas anni 1664 & 1665 variis Virorum per Europam Clariss cum quibus auctor de hoc argumento contulit, observationibus, dissertationibus, animadversionibus descriptos & quinquaginta novem figuris æneis illustratos, exhibet : quibus immista sunt varia Philosophica & Christiana exempla & monita, ad vitæ melius degendæ usum cuicunque hominum generi convenientia, 1666; Quarum prior continet Epistolas & Communicationes variorum per Europam Clarissimorum Virorum, cum quibus Auctor de hoc Argumento contulit, Rautensteinii, Heinsii, 1681. ",,,,,,Stanis_aw Lubieniecki,
46732,Francesco Manuele Melos,Francesco Manuele,Melos,,Dom Francisco Manuel de Mello,"soldier, diplomat, courtier, poet, moralist, historian, literary critic","poetry,history,morality","poetry,history/classical scholarship,religious/morality","soldier,diplomat",secular_official,Catholic,male,italian:1,Yes,"Epanaphoras de varia historia portvgveza. Lisboa: A. Craesbeeck de Mello, 1676; Apologos dialogaes; Tratado da sciencia cabala, ou noticia da arte cabalistica. Lisboa: Occidental, 1724; Mello, Francisco Manuel de, Mateus Pinheiro, and Manuel Vieira. Doze sonetos por varias acciones.: En la muerte de lka Sn_ora Dona Ines de Castro. Em Lisboa: por Mattheus Pinheiro, 1628. ",,,1608,,1666,,
46733,Bernhard Ignaz von Martinitz,Bernhard Ignaz von,Martinitz,,Burgrave of Bohemia,Burgrave of Bohemia,,,burgrave,"titled_nobility,secular_official",Catholic,male,latin:24;italian:4,,,,,1615,,1685,,
46734,Maximilian Guidobald von Martinitz,Maximilian Guidobald von,Martinitz,,Marcus Martinitz,,,,hofmeister,"titled_nobility,secular_official",Catholic,male,,,,,,,,1677,Letters from this person come from years 1660-1667-which means it is not Maximilian Guidobald Martinitz but Maximilian Valentin Martinitz.  Hofmeister of Bohemian kingdom,
46735,Elector of Cologne Maximilian Heinrich,Elector of Cologne,Maximilian Heinrich,,Elector of Cologne,"Elector of Cologne,Duke of Bavaria",,,"elector,duke",titled_nobility,Catholic,male,latin:2,,,,,,,,,
46736,Giancarlo de' Medici,Giancarlo de',Medici,,Cardinal,Cardinal,,,cardinal,"clergy,church_official",Catholic,male,italian:4,,,,,,,,,
46737,Philipp Müller (Miller),Philipp,Müller (Miller),,,"Jesuit (S.J.),confessor to Emperor Leopold I",,,"jesuit,confessor",clergy,Catholic,male,latin:25 ,,,,,,,,,
46738,Ferenc von Nádasdy,Ferenc von,Nádasdy,,Count of  Pottendorf,Count of  Pottendorf,,,count,titled_nobility,Protestant,male,latin:5,Yes,"Mausoleum Potentissimorum ac Gloriosissimorum Regni Apostolici Regum et Primorum Militantis Ungariae Ducum' (Mausoleum of the Most Powerful Kings and Dukes of Hungary), 1664.",,,,,,,
46739,Filippo Nardi,Filippo,Nardi,,son of Giovanni Nardi,,,,,,,male,italian:1,Yes," Noctes geniales, 1656.",,,,,,what kind of book is this? Is he the editor?,
46740,Wilderich von Walderdorff,Wilderich von,Walderdorff,,Bishop of Vienna,"Bishop of Vienna,Baron",,,"bishop,baron,count","clergy,church_official,titled_nobility",Catholic,male,latin:3,Yes,"Sacrae quietis Augustale honori ... Wilderici dei gratia episcopi Viennensis ... cum ad VI. nonas Martias anno MDCLXXI Herbipoli, in cathedrali ecclesia ... jubilaeus renunciaretur, 1671.",,,,,,,
46741,Francisco (alias François Giliot) Ximénez,Francisco (alias François Giliot),Ximénez,,,,,"travel/exploration,languages,history/classical scholarship",dominican ,clergy,Catholic,male,latin:8,Yes,"Historia natural del Reino de Guatemala; Historia de la provincia de San Vicente de Chiapa y Guatemala de la Orden de predicadores; Popol-vuh de Diego Reinoso, Popol-Vinac, hijo de Lahuh-Noh; Cuatro libros de la naturaleza y virtudes medicinales de las plantas y animales de la Nueva Espan_a (was he the translator?)",,,,,,was he a missionary?,
46742,Holy Roman Emperor Leopold I,Holy Roman Emperor,Leopold I,,Emperor,Emperor,,,emperor,titled_nobility,Catholic,male,latin:5,,,,,,,,,
46744,Leopoldo de' Medici,Leopoldo de',Medici,,Prince of Tuscany,"Prince of Tuscany,Cardinal",,,"prince,cardinal","clergy,church_official,titled_nobility",Catholic,male,italian:13,,,,,,,,"Founder/patron of Accademia del Cimento (1657), member of Accademia della Crusca",
46746,Alejandro Fabián,Alejandro,Fabián,,,Jesuit (S.J.),,,jesuit,clergy,Catholic,male,spanish:17,,,,,,,,,
46747,Jacopo Nini,Jacopo,Nini,,Bishop of Corinth,"Cardinal,Bishop of Corinth",,,"bishop,cardinal,secretary","church_official,clergy",Catholic,male,italian:5 ,,,,,,,,,
46748,Johannes Grueber,Johannes,Grueber,,,Jesuit (S.J.),"travel,exploration",travel/exploration,jesuit,clergy,Catholic ,male,latin:14,Yes,Als Kundschafter des Papstes nach China: 1656 - 1664 ; d. 1. Durchquerung Tibets. (Kircher used in China Illustrata),,Würzburg,1623,"Vienna, Austria",1680,"missionary in China, 1656-1664.",
46749,Prince Elector of Saxony Johann Georg,Prince Elector of Saxony,Johann Georg,,Prince Elector of Saxony,Prince Elector of Saxony,,,prince elector,titled_nobility,Protestant,male,latin:1;german:2,,,,,,,,,
46750,Duke of Mantua Carlo II di Gonzaga Nevers,Duke of Mantua,Carlo II di Gonzaga Nevers,,Duke of Mantua,Duke of Mantua,,,duke,titled_nobility,Catholic,male,italian:2,,,,,,,,,
46751,Francesco Pizzoni,Francesco,Pizzoni,,,Jesuit (S.J.),,,jesuit,clergy,Catholic,male,latin:1,,,,,,,,,
46755,Niels Stensen,Niels,Stensen,,,"natural philosopher,anatomist","natural philosophy,anatomy,geology",natural philosophy,,professional,Catholic convert,male,italian:4;latin:1,Yes,"De solido intra solidum naturaliter contento dissertationis prodromus, 1669.",,,,,,,
46756,Giovanni Paolo Oliva,Giovanni Paolo,Oliva,,,"Jesuit (S.J.),General of the Society of Jesus",,,"jesuit,jesuit general","clergy,church_official",Catholic,male,latin:2,Yes,"Panegyrici Joannis Pauli Oliva et Antonii Vieira Societatis Jesu, B. Stanislao Kostka Festa_ ejus luce Dicti, 1690; Prælegenda variis anni temporibus publice in triclinio, 1851; In selecta Scripturae loca ethicae commentationes, 1744.",,,,,,,
46757,Giuseppe Antonio Petrucci,Giuseppe Antonio,Petrucci,,disciple of Athanasius Kircher,disciple of Athanasius Kircher,,,disciple,,Catholic,male,italian:2,,,,,,,,,
46759,Carlo Calà,Carlo,Calà,,Duke of Diano,Duke of Diano,"history,occultism","history/classical scholarship,other",duke,titled_nobility,Catholic,male,italian:18;latin:4,Yes,"Historia de Svevi nel conqvisto de' regni di Napoli, e di Sicilia, 1660; Memoire historiche dell'apparitione dell croci prodigiose, 1661; Pragmaticae, edicta, decreta, regiaeq. sanctiones, Regni Neapolitani, pluribus additis, suisque loci, 1715. ",,,,,,,
46762,Francesco Pianezza,Francesco,Pianezza,,Marchese di Pianezza,"Marquis,Marchese di Pianezza",,,marquis,titled_nobility,Catholic,male,italian:1,,,,,,,,,
46765,Giambattista Riccioli,Giambattista,Riccioli,,,Jesuit (S.J.),natural philosophy,natural philosophy,jesuit,clergy,Catholic,male,italian:7;latin:16,Yes,"Almagestum novum astronomiam veterem novamque complectens observationibus aliorum, et propriis novisque theorematibus, problematibus ac tabulis promotam ... Tomus 1, partes i, ii, 1651; Geographia et hydrographia, libr. XII, 1661; Chronologiae reformatae et ad certas conclusiones redactae, 1669.",,,,,,,
46778,Nicasio Panaioti,Nicasio,Panaioti,,Panaiotti,interpreter,,,interpreter,professional,,male,italian:1,,,,,,,,,
46780,Duke of [unidentified] Bovino,Duke of [unidentified],Bovino,,Duke of Bovino,Duke of Bovino,,,duke,titled_nobility,Catholic,male,italian:1,,,,,,,,,
46782,Ulrich Gering,Ulrich,Gering,,,Jesuit (S.J.),,,jesuit,clergy,Catholic,male,latin:8,,,,,,,,,
46784,Cassiano Dal Pozzo,Cassiano,Dal Pozzo,,Cavaliere,"collector,Cavaliere,church_official","collecting,antiquarianism,natural history","natural philosophy,history/classical scholarship","cavalier,secretary",titled_nobility,Catholic,male,italian:2,,,,,,,,Member of Accademia dei Lincei,
46795,Monsignor Menssonnier,Monsignor,Menssonnier,,Monsignor,Monsignor,,,monsignor,clergy,Catholic,male,latin:1,,,,,,,,,
46796,Johann Schega,Johann,Schega,,,"Jesuit (S.J.),Confessor to prince Leopold of Austria (later ",,,"jesuit,confessor",clergy,Catholic,male,latin:25,,,,"Ljublanja, Slovenia",1595,"Vienna, Austria",1664,confessor to archduke Leopold Wilhelm,
46797,Giulio Banfi (Palfi),Giulio,Banfi (Palfi),,,composer,music,music,,professional,Catholic,male,italian:2,,,,,,,,,
46800,Christoph Schorrer,Christoph,Schorrer,,,Jesuit (S.J.),theology,religious/morality,jesuit,clergy,Catholic,male,latin:6,Yes,"Synopsis iuris canonici versantis circa ordinis potestatem, ecclesias, et beneficia; 1658. Theologia Ascetica Sive Doctrina Spiritvalis Vniversa: Ex Svis Principiis Methodice, Et Breviter Dedvcta, Et Ad Vsvm Parata, 1642; Svmma Perfectionis Christianae, 1668. ",,,,,,,
46801,Jan Marcus Marci of Kronland,Jan Marcus,Marci of Kronland,,,physician,"medicine,natural philosophy ",natural philosophy,physician,professional,Catholic,male,latin:38,Yes,"Idearum operaticum idea,1636; De proportione motus, 1639; Thaumantias liber de arcu coelesti, 1648; De longitudine seu differentia inter duos meridianos, 1650; Disssertatio de natura iridis, 1650; Philosophia vetus restitute, 1662; Othosophia seu philosophia impulsus universalis, 1683. ",,,,,,"Marci z Kronlandu, Jan Marek, and Jacobus Johannes Wenceslaus Dobrzensky. 1652. Theses med. de hydrope.",
46802,Lodewijk Kras (Crasius),Lodewijk,Kras (Crasius),,"Louis Crasius, Ludovicus Crasius","Rector of the College of Bratislava,Jesuit (S.J.)",,,jesuit,clergy,Catholic,male,latin:1,Yes,,,"Gravelines, France",1597,"Prague, Czech Republic",1677,,
46803,Desiderio Montemagno,Desiderio,Montemagno,,,secretary,,,secretary,secular_official,Catholic,male,italian:1,Yes,Athene Receptaculum diversorum,,,,,,,
46804,Duke of Braunschweig-Lüneburg Ferdinand Albrecht,Duke of Braunschweig-Lüneburg,Ferdinand Albrecht,,Duke of Braunschweig-L?neburg,Duke of Braunschweig-L,"travel,exploration",travel/exploration,duke,titled_nobility,Protestant,male,latin:3,Yes,"Wunderliche Begebnu_ssen und wunderlicher Zustand in dieser wunderlichen verkehrten Welt [M]eistentheils ausz eigener Erfahrung und dann gottseliger, 1678; Wunderliche Begebnu_ssen und wunderlicher Zustand in dieser wunderlichen verkehrten Welt: Faksimiledruck der Ausgaben von 1678 (Teil I) und 1680 (Teil II). ",,,,,,,
46807,Duke of Braunschweig-Lüneburg Johann Friedrich,Duke of Braunschweig-Lüneburg,Johann Friedrich,,Duke of Braunschweig-L?neburg,Duke of Braunschweig-L,,,duke,titled_nobility,Catholic convert,male,italian:14;german:4,,,,"Herzberg am Harz, Germany",1625-04-25,Augsburg,1679-12-18,,
46814,Martino Martini (de Martinis),Martino,Martini (de Martinis),,,Jesuit (S.J.),"orientalism,history,travel,geography,astronomy,languages,chronology,theology,apology","travel/exploration,history/classical scholarship,natural philosophy,languages,religious/morality","jesuit,missionary",clergy,Catholic,male,latin:5;italian:1,Yes,"De Bello Tartarico Historia, 1654; Brevis Relatio de Numero et Qualitate Christianorum apud Sinas, 1654; Novus Atlas Sinensis, 1655; Sinicæ Historiæ Decas Prima, 1658; Regni Sinensis a Tartaris devastati enarratio, 1661; De Amicitia, 1661; Grammatica Sinica. See http://ricci.rt.usfca.edu/biography/view.aspx?biographyID=817",,"Trent, Italy",1614-09-20,"Hangzhou, China",1661-06-06,studied astronomy and mathematics under Kircher; defender of Chinese Rites; worked with Jacobus Golius in Leyden,
46815,Holy Roman Emperor Ferdinand III,Holy Roman Emperor,Ferdinand III,,,Holy Roman Emperor,,,emperor,titled_nobility,Catholic,male,latin:4;german:1,,,,,,,,,
46816,Mattias de' Medici,Mattias de',Medici,,prince,prince,,,prince,titled_nobility,Catholic,male,italian:1,,,,,,,,,
46817,Duke of Modena Alfonso IV,Duke of Modena,Alfonso IV,,Duke of Modena,Duke of Modena,,,duke,titled_nobility,Catholic,male,italian:1,,,,,,,,,
46818,Duke of Schleswig-Holstein Friedrich Johannes,Duke of Schleswig-Holstein,Friedrich Johannes,,Duke of Schleswig-Holstein,Duke of Schleswig-Holstein,,,duke,titled_nobility,Protestant,male,latin:8,,,,,,,,,
46819,Francesco Barberini,Francesco,Barberini,,Cardinal,"collector,Cardinal",collecting,other,cardinal,"clergy,church_official",Catholic,male,latin:1,,,,,,,,,
46820,Landgrave of Hesse-Darmstadt Friedrich,Landgrave of Hesse-Darmstadt,Friedrich,,Cardinal,Cardinal,,,cardinal,"clergy,church_official",Catholic convert,male,italian:17;german:1;latin:1,,,,,,,,,
46821,Duke of Schleswig-Holstein Johann Adolph,Duke of Schleswig-Holstein,Johann Adolph,,,Duke of Schleswig-Holstein,,,duke,titled_nobility,Protestant,male,italian:5,,,,,,,,,
46822,Joseph Marie Suáres,Joseph Marie,Suáres,,Bishop of Vaison (France),Bishop of Vaison (France),"antiquarianism,classical scholarship",history/classical scholarship,bishop,"clergy,church_official",Catholic,male,latin:3,Yes,"De numismatis & nummis antiquis dissertatio, 1683.",,,,,,,
46823,Stanislas Pstrokonski,Stanislas,Pstrokonski,,Bishop of Chelm (Poland),Bishop of Chelm (Poland),,,bishop,"clergy,church_official",Catholic,male,latin:1,,,,,,,,,
46824,Domenico Blandizzi,Domenico,Blandizzi,,Bishop of Umbriatico (Catanzaro),Bishop of Umbriatico (Catanzaro),,,bishop,"clergy,church_official",Catholic,male,italian:1,,,,,,,,,
46825,Claudio Marazzani Visconti,Claudio,Marazzani Visconti,,Monsignor,Monsignor,poetry,poetry,monsignor,clergy,Catholic,male,italian:1,Yes,,,,,,,,
46826,Carlo Ottone,Carlo,Ottone,,Monsignor,"Monsignor,Governor of Loreto",,,"monsignor,governor","clergy,secular_official",Catholic,male,italian:1,,,,,,,,,
46827,Carbone Delmona,Carbone,Delmona,unreadable,,,,,,,,male,italian:1,,,,,,,,,
46828,Giuseppe della Corgna,Giuseppe della,Corgna,,Bishop of Orvieto,Bishop of Orvieto,,,bishop,"church_official,clergy",Catholic,male,italian:2,Yes,"Constitutiones editae ab illustre et reverend. domino fr. Josepho della Corgna, episcopo Urbevetano: In Diocesana Synodo celebrata in Ecclesia sua Cathedrali Urbevetana diebus 20.21.22 mensis Octobris 1666, 1667.",,,,,,,
46829,Pope (Antonio Pignatelli) Innocent XII,Pope (Antonio Pignatelli),Innocent XII,,Archbishop of Larissa,"Papal Nuncio to the Grand Duke of Tuscany,Archbishop of Lari",,,"archbishop,papal nuncio","church_official,clergy",Catholic,male,italian:1,,,,,,,,,
46830,Monsignor Salvetti,Monsignor,Salvetti,,abbot,abbot,,,abbot,"church_official,clergy",Catholic,male,italian:2,,,,,,,,,
46831,Sebastian Denich,Sebastian,Denich,,Bishop of Regensburg,Bishop of Regensburg,,,bishop,"church_official,clergy",Catholic,male,latin:5,Yes,"Disputatio Iuridica Ex Praecipvis Canonici Ivris Partibvs Desvmpta, 1618.",,,,,,,
46832,Hermann Georg von Neuhoff,Hermann Georg von,Neuhoff,,Prince-abbot of Fulda,Prince-abbot of Fulda,,,prince abbot,"titled_nobility,clergy,church_official",Catholic,male,latin:2,,,,,,,,,
46833,Joachim von Gravenegg,Joachim von,Gravenegg,,Prince-abbot of Fulda,Prince-abbot of Fulda,,,prince abbot,"titled_nobility,clergy,church_official",Catholic,male,latin:3;german:1 ,Yes,"Officia propria sanctorum ecclesiae Fuldensis, ad ... breviarii Benedictini ex Romano restituti Autoritate et jussu ; reverendissimi & illustrissimi Principis ac Domini, 1670; Athanasii Kircheri E Societate Jesu Iter Extaticum Coeleste: Quo Mundi opificium, id est, Coelestis Expansi, siderumq[ue] tam errantium, quam fixorum natura, vires, proprietates, singulorumq[ue] compositio & structura, ab infimo Telluris globo, usq[ue] ad ultima Mundi confinia, per ficti raptus integumentum explorata, nova hypothesi exponitur ad veritatem, Interlocutoribus Cosmiele et Theodidacto, 1660. ",,,,,,,
46834,Johann Weickard von Auersperg,Johann Weickard von,Auersperg,,prince,prince,,,"prince,minister","titled_nobility,secular_official",Catholic convert,male,latin:6,,,,,,,,"See Vehse, Memoirs of the court and aristocracy of Austria, Volume 1--verify he was a convert?
 ",
46835,Duke of Mecklenburg-Güstrow Gustav Adolf,Duke of Mecklenburg-Güstrow,Gustav Adolf,,Duke of Mecklenburg-G?strow,Duke of Mecklenburg-G,,,duke,titled_nobility,Protestant,male,latin:1,,,Magdalene Sibylle,"Güstrow, Germany",1633-02-26,"Güstrow, Germany",1695-10-6,,
46836,Prince of the Palatinate Christian August,Prince of the Palatinate,Christian August,,Prince of the Palatinate,Prince of the Palatinate,,,prince,titled_nobility,"Protestant,Catholic convert",male,latin:1,,,,,1622,,1708,Catholic convert??,
46838,da Treviso Leli,da Treviso,Leli,,,Servite (O.S.M.),,,servite,clergy,Catholic,male,italian:1,,,,,,,,,
46839,Johann Maximilian Lamberg,Johann Maximilian,Lamberg,,,"count, diplomat",,,"count,diplomat","titled_nobility,secular_official",Catholic,male,latin:10;italian:2,,,,,,,,,
46840,Prince of Valletano,Prince of,Valletano,,prince,prince,,,prince,titled_nobility,Catholic,male,italian:1,,,,,,,,,
